future_id,area_ag_km2,demand_agricultural_m3km2,demand_municipal_m3p,flow_m3s,population,precipitation_mm
0,1.0,1.0,1.0,0.0,1.0,0.0
1,1.1651130839953072,1.0501386606859777,0.828113380066187,-0.11575245100843057,0.8767992973588709,0.6412397462559218
2,1.1353631192790068,1.019295703480106,1.0303717385768354,-0.3129936101517635,1.0419204220815668,0.5071552724088624
3,1.4933685887693622,0.9219935608857847,1.1755110819952983,-0.04390263739088218,0.8000640341115194,0.5952224110233953
4,0.862848149033978,0.9497729939041791,0.9034004266259265,-0.356598770772744,1.086476229587625,0.28088308351473174
5,1.3511365227769947,0.9845647095842169,0.9883124758434291,-0.1994575029752044,1.2539914812486226,0.56067513037046
6,1.3749587060471806,1.0259159031550986,0.8681529328112207,-0.2903799865367624,1.1996083509927749,0.41986476484344276
7,0.8862080535537755,1.074788570193774,0.9544084177181835,-0.21877536405101508,1.2185210156925625,0.44590504843126755
8,0.9818747961229972,0.9701632004626184,1.0614008333657137,-0.15969287094967735,1.147394726112576,0.7124790502089803
9,1.2405073908812192,1.0843222331487945,1.1583996928489766,-0.06842980526499354,0.9154795593237144,0.36132670524686433
10,1.0630048209607108,0.9169915114652928,1.080393790491936,-0.24298795797320394,0.9904522585420883,0.30030173596132137
