future_id,time_period,year,month,area_ag_km2,demand_agricultural_m3km2,demand_municipal_m3p,flow_m3s,population,precipitation_mm
0,1,2011,1,150.0,390640.89600000007,8.638743409999998,20.641764,4048000.0,14.57333333333333
0,2,2011,2,150.0,416683.6224,8.75392672,55.313316,4052115.0,22.71666666666666
0,3,2011,3,150.0,442726.3488,8.98429323,68.7852,4056230.0,22.85
0,4,2011,4,150.0,458351.9846399999,8.98429323,27.502083000000002,4060346.0,16.8
0,5,2011,5,150.0,468769.0752000001,9.214659740000002,28.211211,4064461.0,40.4
0,6,2011,6,150.0,453143.4393600001,9.67539265,15.923855999999995,4068577.0,65.19999999999999
0,7,2011,7,150.0,442726.3488,9.79057596,5.456466000000002,4072692.0,60.0
0,8,2011,8,150.0,432309.25823999994,9.79057596,2.9840400000000002,4076807.0,20.0
0,9,2011,9,150.0,411475.07712,9.56020945,3.773742,4080923.0,21.2
0,10,2011,10,150.0,411475.07712,9.09947643,9.773169000000001,4085038.0,29.7
0,11,2011,11,150.0,401057.98656,8.86910992,12.746169,4089154.0,0.0
0,12,2011,12,150.0,390640.89600000007,8.638743409999998,20.079192000000003,4093269.0,0.0
0,13,2012,1,150.0,390640.89600000007,8.638743409999998,31.594953000000004,4097385.0,21.4
0,14,2012,2,150.0,416683.6224,8.75392672,34.002936,4101619.0,17.1
0,15,2012,3,150.0,442726.3488,8.98429323,64.31400000000001,4105853.0,14.1
0,16,2012,4,150.0,458351.9846399999,8.98429323,29.40147,4110087.0,24.3
0,17,2012,5,150.0,468769.0752000001,9.214659740000002,28.931364,4114321.0,30.9
0,18,2012,6,150.0,453143.4393600001,9.67539265,30.198791999999997,4118554.0,69.5
0,19,2012,7,150.0,442726.3488,9.79057596,19.536657,4122789.0,20.0
0,20,2012,8,150.0,432309.25823999994,9.79057596,14.17419,4127023.0,6.1
0,21,2012,9,150.0,411475.07712,9.56020945,16.229928,4131257.0,25.0
0,22,2012,10,150.0,411475.07712,9.09947643,28.605189000000006,4135491.0,25.0
0,23,2012,11,150.0,401057.98656,8.86910992,28.735638,4139725.0,4.2
0,24,2012,12,150.0,390640.89600000007,8.638743409999998,32.417574,4143959.0,31.5
0,25,2013,1,150.0,390640.89600000007,8.638743409999998,24.904737,4148193.0,31.4
0,26,2013,2,150.0,416683.6224,8.75392672,81.04969799999998,4152548.0,2.3
0,27,2013,3,150.0,442726.3488,8.98429323,88.9056,4156904.0,32.4
0,28,2013,4,150.0,458351.9846399999,8.98429323,38.534139,4161259.0,25.3
0,29,2013,5,150.0,468769.0752000001,9.214659740000002,34.4421,4165615.0,29.9
