strategy_id,time_period,year,month,capacity_reservoir_million_m3,increase_ag_efficiency_rate,increase_mun_efficiency_rate,transmission_gw_ag_m3s,transmission_gw_mun_m3s,transmission_res_ag_m3s,transmission_res_mun_m3s,recylcing_proportion_mun,wastewater_treatment_capacity_m3s
0,1,2011,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,2,2011,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,3,2011,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,4,2011,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,5,2011,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,6,2011,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,7,2011,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,8,2011,8,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,9,2011,9,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,10,2011,10,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,11,2011,11,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,12,2011,12,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,13,2012,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,14,2012,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,15,2012,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,16,2012,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,17,2012,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,18,2012,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,19,2012,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,20,2012,8,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,21,2012,9,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,22,2012,10,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,23,2012,11,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,24,2012,12,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,25,2013,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,26,2013,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,27,2013,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,28,2013,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,29,2013,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,30,2013,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,31,2013,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,32,2013,8,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,33,2013,9,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,34,2013,10,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,35,2013,11,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,36,2013,12,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,37,2014,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,38,2014,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,39,2014,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,40,2014,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,41,2014,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,42,2014,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,43,2014,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,44,2014,8,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,45,2014,9,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,46,2014,10,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,47,2014,11,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,48,2014,12,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,49,2015,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,50,2015,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,51,2015,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,52,2015,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,53,2015,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,54,2015,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,55,2015,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,56,2015,8,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,57,2015,9,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,58,2015,10,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,59,2015,11,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,60,2015,12,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,61,2016,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,62,2016,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,63,2016,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,64,2016,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,65,2016,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,66,2016,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,67,2016,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,68,2016,8,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,69,2016,9,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,70,2016,10,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,71,2016,11,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,72,2016,12,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,73,2017,1,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,74,2017,2,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,75,2017,3,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,76,2017,4,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,77,2017,5,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,78,2017,6,300,0.0,0.0,,2.5,10,10,0.2,0.5
0,79,2017,7,300,0.0,0.0,,2.5,10,10,0.2,0.5
